area,average_price,houses_sold,no_of_crimes,year,median_salary,population_size,number_of_jobs,area_size,no_of_houses,area_encoded
city of london,91449,17.0,2132.0,1995,28596.5,270418.0,137000.0,4323.0,102402.0,6
city of london,82203,7.0,2132.0,1995,28596.5,270418.0,137000.0,4323.0,102402.0,6
city of london,79121,14.0,2132.0,1995,28596.5,270418.0,137000.0,4323.0,102402.0,6
city of london,77101,7.0,2132.0,1995,28596.5,270418.0,137000.0,4323.0,102402.0,6
city of london,84409,10.0,2132.0,1995,28596.5,270418.0,137000.0,4323.0,102402.0,6
city of london,94901,17.0,2132.0,1995,28596.5,270418.0,137000.0,4323.0,102402.0,6
city of london,110128,13.0,2132.0,1995,28596.5,270418.0,137000.0,4323.0,102402.0,6
city of london,112329,14.0,2132.0,1995,28596.5,270418.0,137000.0,4323.0,102402.0,6
city of london,104473,17.0,2132.0,1995,28596.5,270418.0,137000.0,4323.0,102402.0,6
city of london,108038,14.0,2132.0,1995,28596.5,270418.0,137000.0,4323.0,102402.0,6
city of london,117636,11.0,2132.0,1995,28596.5,270418.0,137000.0,4323.0,102402.0,6
city of london,127232,18.0,2132.0,1995,28596.5,270418.0,137000.0,4323.0,102402.0,6
city of london,108999,17.0,2132.0,1996,28596.5,270418.0,137000.0,4323.0,102402.0,6
city of london,93357,10.0,2132.0,1996,28596.5,270418.0,137000.0,4323.0,102402.0,6
city of london,93707,17.0,2132.0,1996,28596.5,270418.0,137000.0,4323.0,102402.0,6
city of london,120543,14.0,2132.0,1996,28596.5,270418.0,137000.0,4323.0,102402.0,6
city of london,112050,19.0,2132.0,1996,28596.5,270418.0,137000.0,4323.0,102402.0,6
city of london,114226,28.0,2132.0,1996,28596.5,270418.0,137000.0,4323.0,102402.0,6
city of london,97547,30.0,2132.0,1996,28596.5,270418.0,137000.0,4323.0,102402.0,6
city of london,114179,25.0,2132.0,1996,28596.5,270418.0,137000.0,4323.0,102402.0,6
city of london,108138,32.0,2132.0,1996,28596.5,270418.0,137000.0,4323.0,102402.0,6
city of london,98934,33.0,2132.0,1996,28596.5,270418.0,137000.0,4323.0,102402.0,6
city of london,99707,31.0,2132.0,1996,28596.5,270418.0,137000.0,4323.0,102402.0,6
city of london,106427,26.0,2132.0,1996,28596.5,270418.0,137000.0,4323.0,102402.0,6
city of london,116343,22.0,2132.0,1997,28596.5,270418.0,137000.0,4323.0,102402.0,6
city of london,111142,37.0,2132.0,1997,28596.5,270418.0,137000.0,4323.0,102402.0,6
city of london,107488,70.0,2132.0,1997,28596.5,270418.0,137000.0,4323.0,102402.0,6
city of london,108480,19.0,2132.0,1997,28596.5,270418.0,137000.0,4323.0,102402.0,6
city of london,115453,12.0,2132.0,1997,28596.5,270418.0,137000.0,4323.0,102402.0,6
city of london,118317,21.0,2132.0,1997,28596.5,270418.0,137000.0,4323.0,102402.0,6
city of london,117034,26.0,2132.0,1997,28596.5,270418.0,137000.0,4323.0,102402.0,6
city of london,113585,9.0,2132.0,1997,28596.5,270418.0,137000.0,4323.0,102402.0,6
city of london,115159,22.0,2132.0,1997,28596.5,270418.0,137000.0,4323.0,102402.0,6
city of london,121251,22.0,2132.0,1997,28596.5,270418.0,137000.0,4323.0,102402.0,6
city of london,131074,18.0,2132.0,1997,28596.5,270418.0,137000.0,4323.0,102402.0,6
