Actual Price,Predicted Price (LR),Predicted Price (RF)
295486,286188.5896438882,287396.58
827363,554913.9483012706,849191.63
239079,268199.5426520407,238403.9
236766,307929.2098361552,240570.06
160889,320707.6360781118,162414.65
774019,456588.58123046905,752643.4
229089,167495.42505329475,245525.77
241406,319578.0811908059,242076.09
360542,285450.76463944465,367840.38
145968,226691.03635311127,146081.0
520571,412458.7381028384,533415.85
343255,389109.97400426865,341292.66
265721,274385.3227618784,268661.99
271941,314314.1219762005,280519.37
326444,341579.6814244203,330539.13
195776,269198.846468769,203980.06
187800,255735.11436302587,191423.82
464277,485736.01960570365,406976.68700000003
97392,213182.32178850472,93042.24
224940,313532.7828576863,224179.73
303569,334925.6267876774,300179.61
502091,532946.0514561906,502709.46
233889,292551.4315985553,227859.48
200148,247167.89977166057,201105.34
196812,401017.4743607901,198773.64
354093,348870.0972825885,359279.97
558630,455405.6012102552,570131.13
393831,388918.33914282545,393832.75
220041,323949.8809994124,223461.32
200657,288264.4858552292,201402.61
316021,318658.5999099314,321296.31
345831,245338.54110588506,344557.97
200256,325901.772587575,212750.43
285936,494309.68074097857,286165.99
403432,305125.732128866,379120.61
464488,656725.2888718322,446974.33
452345,645222.775179565,455069.95
336380,338098.9016504437,341826.74
544979,496549.57382650673,545797.37
273218,290832.5731895864,284908.42
489291,233944.22034855932,521030.57
470972,376138.483984787,493421.23
374420,348817.41630544513,342310.6
179637,196178.50488047674,172431.94
437667,393720.3369928822,427229.71
402847,426024.3311997391,409664.8
505619,570452.1131112054,502297.51
93021,114947.21546959132,110486.45
178189,260780.83461316675,179265.56
295744,363666.4413305223,269829.52
455466,210872.5904280506,449532.4
150800,140386.68130136654,160067.32
309873,319912.0659878403,300927.27
323825,346212.3991891183,325970.31
233262,235824.16725547612,231539.52
193773,264776.28128817305,198310.56
221052,339686.71663235873,220208.02
172207,170783.30048581213,170268.92
49045,67764.70884590223,50115.99
347970,341866.9081809744,347047.05
243468,290105.4343385957,239880.65
474551,495675.8127341643,479949.86
476525,457344.97693748027,470440.9
253418,346914.7268749513,262136.86
524987,488242.2819192223,522400.67
74391,57724.77901257202,70900.34
294673,284154.9372792691,289413.33
213655,138629.34769470617,211813.17
387491,445442.53178111836,364899.63
236110,343251.53017669916,229308.14
512942,362506.9280827977,590178.09
248371,169073.7847802788,250540.97
262197,314273.75356300175,260745.18
183099,374841.34477587044,178190.1
139920,195040.72572007403,149613.94
221298,228498.34766615555,220055.83
214973,209849.9228599891,221358.04
181152,147709.40977403894,186588.16
212026,351205.54073060676,209382.66
278474,326475.4360129945,282572.68
222620,298518.2555353381,218230.35
1278113,423674.26290683076,1348051.55
137528,158997.58437789604,138304.87
314304,340073.80307564884,332056.81
651931,408845.25299699605,657214.39
190624,224050.64010550082,187525.06
318928,336021.13186264783,301033.95
270717,366652.19546481967,285232.75
327602,365396.66603940725,317888.8
262231,346867.0867056735,258033.11
470262,404826.6633539945,486894.4
571661,414185.2427797504,468653.62
1353679,400216.31952917203,1285845.71
122055,340155.639275372,126186.0
273054,269006.41796221957,281108.54
256851,338547.5501004122,262931.96
167692,260202.907551419,164047.34
374524,401425.6908054203,380184.61
243308,248422.24741659313,239613.94
412835,368786.8807535581,407768.69
196575,120492.31225051731,198036.88
476731,423360.38714852557,479533.93
157679,139654.19819016755,170275.41
280702,236563.97838710248,284738.06
307992,323308.94543510675,305562.64
300381,253047.3498179391,294201.2
138349,221118.74074536934,139629.19
532804,495693.21928073466,518071.87
240654,159612.69172020257,241375.78
159465,156608.59625228494,162945.9
414376,207964.0480654277,480020.1
190077,341288.00966754556,193117.12
647853,521302.09035218135,640725.71
207346,241397.99792633578,202678.96
420665,503126.7433360331,433732.88200000004
150751,147744.21708802134,149351.0
256883,348897.45376301557,254312.8
215135,233786.7369438894,216275.73
247282,360780.3371965699,239673.09
325064,342798.97326187417,308235.93
130979,325219.17466268316,130132.72
473268,446715.93935161456,491334.9
256550,170075.02995208278,251023.07
955882,518556.0393341556,938384.75
153615,72565.06115423888,152882.76
163173,327571.3673132993,162366.51
113776,113707.70079714432,118978.05
509710,484222.3729919642,506526.11
206050,239506.61144705862,209654.72
594354,498387.1768945493,605576.83
127515,250843.38827341422,126971.2
199538,224114.6053540036,199476.06
145425,158393.98540747538,142247.14
246648,308815.9358210303,254977.57
206729,215609.58309102058,209329.86
579471,473869.2131001279,583247.57
223091,311696.8310603313,220972.87
137946,169349.08862851188,138342.75
135770,154358.07159676775,155147.07
247109,247810.52930156514,253049.01
327108,363443.08585722744,310498.25
215136,283580.851915285,237058.85
501293,403624.84943863377,479112.22
125088,210137.8368910253,138083.47
89206,190264.20381274074,94786.94
314580,299615.8161986321,294768.75
305560,344321.52532166615,322964.65
143522,268580.82776004076,145956.75
454499,388672.2488640994,479917.77
159886,84296.68693844229,153156.22
129295,239450.31151714548,127289.81
287320,409621.799478095,289375.89
210994,214198.64472223073,212323.13
246459,310252.1008404866,243802.53
354994,329112.5429903008,352765.32
243568,332998.92459370196,242374.24
518470,412465.0620617159,504767.55
264013,322655.9504449591,251903.5
127100,251797.69756138325,126125.77
474810,356974.27185022086,482327.58
193713,280701.98748809844,202514.51
433901,372747.07066880167,454476.84
263774,265396.1282207966,272253.69
330066,399384.1313134134,341813.8
216195,349890.0187377222,223403.83
345727,404377.64996233955,332307.63
72055,201705.8539700359,74008.11
218803,206656.1252270043,222147.48
152152,266325.442303136,151090.3
241226,240331.33109257743,235475.56
330422,293715.4525032602,322963.59
342616,453843.4994659871,336190.4
411591,443925.0688912682,452379.94
404447,445979.4584212564,389050.63
223024,158069.3947152607,231806.06
376014,449088.8745351359,364916.81
109413,226281.59981747344,111844.26
169461,381687.94250415266,179122.18
856070,522198.7332650237,823980.98
328431,313824.9575644061,331115.54
239175,175708.43146247417,233900.52
343102,317919.8778310828,346365.85
195498,403491.2507214844,239501.27
216988,298683.7613834478,222163.19
546512,450486.22201744094,543454.12
165383,423115.24444741383,332145.82
144534,70204.06606818363,151805.19
311769,360011.6180340983,308633.04
262861,399328.7029099986,278223.45
520123,413114.7497860566,489324.89
306942,302765.2042087279,315934.23
156059,214820.48534367606,170093.4
82386,143032.74413841218,79275.58
373122,449236.8567179814,376283.09
252877,251035.52140716836,255010.91
426557,396678.843207147,416835.65
176489,267023.0057814233,182425.49
363224,363445.0816688314,351919.43
200844,267973.64693753794,210587.74
710090,540456.9615586512,724363.89
295844,299124.0833398104,294698.54
322834,434771.9585400745,322830.58
213997,239729.97879281268,219621.49
439595,418466.6032867916,428553.71
225765,302556.89496112615,232289.05
808270,273106.0566315055,778405.36
166896,123096.22203581408,167685.2
399480,388069.53443719074,401613.69
98810,131489.79106228426,109981.97
223135,206575.65882225707,219065.76
509025,484721.61928255484,513585.09
263672,349248.6720829047,259490.5
368133,410067.174554728,359954.06
130411,109892.28870515153,143622.52
863878,332371.73246349767,829178.08
210206,326292.7117600776,211433.76
187235,348812.6377735175,185896.1
222308,305932.1059333272,222908.88
130144,132904.3127052337,132813.11
145402,145323.22277890518,142559.5
54746,81541.55521784723,56601.5
173905,192888.98893313855,170516.87
342013,322870.7621594593,314235.17
227626,158451.1607608907,232952.44
113914,131526.93000242487,111254.59
802129,794759.853919711,795944.17
411087,449763.27346228436,410874.8
204067,273961.9623706527,205609.21
277733,363635.0978658423,273396.87
312586,336072.33359184116,314102.77
469890,404785.40382261947,476362.78
328022,387458.46882894635,335656.07
219335,321313.4082909487,220660.62
122481,324707.6092303507,347360.0
457769,404912.5711323656,433250.5
162771,234656.78098165616,163861.31
177232,216584.6631560959,174355.79
518699,549656.3722681738,498545.0
206043,265096.3485474214,209865.37
433857,356261.47880459204,419081.96
374181,306485.58076900616,363161.87
248541,245813.80810007453,239424.12
108535,199307.26368371025,101985.27
188251,233419.03935997188,189040.7
141105,106291.05301258713,142009.27
365319,398247.2277277447,369978.56
770240,311508.6421093419,763003.75
361012,400053.58907528967,365959.46
275710,295483.8772071339,272984.62
598430,309593.2174667567,692980.45
145380,93410.22360242158,150774.06
178888,164970.54807730764,176390.97
387178,503131.5875456147,433837.195
288719,333181.57821014896,292282.45
196797,207337.83766388148,173497.36
372628,350502.59586682916,379827.38
161927,237276.11704888195,163612.71
256614,227991.45039805025,245627.29
188839,179883.72457507625,173802.64
477486,401058.0549103841,469916.08
394813,402584.4734525569,360573.51
429921,390312.086220596,430475.26
294574,403239.0711004101,288096.08
137765,123181.34449199587,132615.21
818816,324036.9596976973,846527.99
156730,10196.427674531937,148028.46
287539,375469.89366385713,283979.21
565648,414944.1689478494,576342.14
82643,74827.9918073453,89501.42
230666,251188.00585420802,219694.58
246396,303485.10101211816,237848.74
250972,267755.9921754226,262162.2
105619,49265.31711842492,97517.66
140983,258869.8112179041,138903.52
292355,291396.3988795467,278844.61
240106,382283.23778966814,235876.02
387587,455324.1716498174,390704.49
211100,137181.2905907482,193362.69
189494,232356.54272463545,189882.89
414525,402241.09947941825,434375.01
241094,393378.14819784835,243358.27
125998,153854.9309470728,134041.63
169025,131537.2148833312,165592.66
313550,398234.8912942037,314395.98
159843,72341.33923833445,160806.09
321825,357536.4429246448,321925.37
395993,509939.2178965993,395608.27
214594,177172.56471037865,232625.34
413229,433357.97840596363,428480.22
160027,131158.16945926845,161874.59
799950,592670.7338199429,854684.47
498895,488285.00640539825,493838.73
169013,246859.20308161527,170091.92
180356,147497.87928888574,186461.52
736741,312585.173033759,759899.9
406757,510333.9018344544,397984.86
268204,374895.73091354966,263608.93
338590,306485.4453006722,368541.8
247818,257241.1463211216,239347.92
207952,380356.29765706137,206262.23
150519,366928.3457006067,150850.96
401761,429122.842200432,395186.11
473659,394860.0232056007,500588.65
92647,31925.829283572733,91540.51
211970,208747.82657277584,213868.14
576272,500682.8345947899,574988.38
176816,277846.98497621715,177326.79
524868,406622.9862672761,533392.27
233873,169908.71208971366,242900.45
509666,383646.1493053213,509445.1
608411,407118.1424360052,633577.46
218737,283409.2252641842,229793.33
121096,324594.57767339796,282726.15
138960,69678.08623279259,126010.04
120426,147776.98332275078,112350.34
482733,379453.3759739548,486732.35
233924,163281.35803860426,231231.6
192322,258239.44996238127,193049.16
279870,377619.99697629735,286724.98
272872,322773.0934588611,263583.72
153852,70420.44076291844,148259.05
