Actual Price,Predicted Price (Linear Regression)
295486,286188.5896438882
827363,554913.9483012706
239079,268199.5426520407
236766,307929.2098361552
160889,320707.6360781118
774019,456588.58123046905
229089,167495.42505329475
241406,319578.0811908059
360542,285450.76463944465
145968,226691.03635311127
520571,412458.7381028384
343255,389109.97400426865
265721,274385.3227618784
271941,314314.1219762005
326444,341579.6814244203
195776,269198.846468769
187800,255735.11436302587
464277,485736.01960570365
97392,213182.32178850472
224940,313532.7828576863
303569,334925.6267876774
502091,532946.0514561906
233889,292551.4315985553
200148,247167.89977166057
196812,401017.4743607901
354093,348870.0972825885
558630,455405.6012102552
393831,388918.33914282545
220041,323949.8809994124
200657,288264.4858552292
316021,318658.5999099314
345831,245338.54110588506
200256,325901.772587575
285936,494309.68074097857
403432,305125.732128866
464488,656725.2888718322
452345,645222.775179565
336380,338098.9016504437
544979,496549.57382650673
273218,290832.5731895864
489291,233944.22034855932
470972,376138.483984787
374420,348817.41630544513
179637,196178.50488047674
437667,393720.3369928822
402847,426024.3311997391
505619,570452.1131112054
93021,114947.21546959132
178189,260780.83461316675
295744,363666.4413305223
455466,210872.5904280506
150800,140386.68130136654
309873,319912.0659878403
323825,346212.3991891183
233262,235824.16725547612
193773,264776.28128817305
221052,339686.71663235873
172207,170783.30048581213
49045,67764.70884590223
347970,341866.9081809744
243468,290105.4343385957
474551,495675.8127341643
476525,457344.97693748027
253418,346914.7268749513
524987,488242.2819192223
74391,57724.77901257202
294673,284154.9372792691
213655,138629.34769470617
387491,445442.53178111836
236110,343251.53017669916
512942,362506.9280827977
248371,169073.7847802788
262197,314273.75356300175
183099,374841.34477587044
139920,195040.72572007403
221298,228498.34766615555
214973,209849.9228599891
181152,147709.40977403894
212026,351205.54073060676
278474,326475.4360129945
222620,298518.2555353381
1278113,423674.26290683076
137528,158997.58437789604
314304,340073.80307564884
651931,408845.25299699605
190624,224050.64010550082
318928,336021.13186264783
270717,366652.19546481967
327602,365396.66603940725
262231,346867.0867056735
470262,404826.6633539945
571661,414185.2427797504
1353679,400216.31952917203
122055,340155.639275372
273054,269006.41796221957
256851,338547.5501004122
167692,260202.907551419
374524,401425.6908054203
243308,248422.24741659313
412835,368786.8807535581
196575,120492.31225051731
476731,423360.38714852557
157679,139654.19819016755
280702,236563.97838710248
307992,323308.94543510675
300381,253047.3498179391
138349,221118.74074536934
532804,495693.21928073466
240654,159612.69172020257
159465,156608.59625228494
414376,207964.0480654277
190077,341288.00966754556
647853,521302.09035218135
207346,241397.99792633578
420665,503126.7433360331
150751,147744.21708802134
256883,348897.45376301557
215135,233786.7369438894
247282,360780.3371965699
325064,342798.97326187417
130979,325219.17466268316
473268,446715.93935161456
256550,170075.02995208278
955882,518556.0393341556
153615,72565.06115423888
163173,327571.3673132993
113776,113707.70079714432
509710,484222.3729919642
206050,239506.61144705862
594354,498387.1768945493
127515,250843.38827341422
199538,224114.6053540036
145425,158393.98540747538
246648,308815.9358210303
206729,215609.58309102058
579471,473869.2131001279
223091,311696.8310603313
137946,169349.08862851188
135770,154358.07159676775
247109,247810.52930156514
327108,363443.08585722744
215136,283580.851915285
501293,403624.84943863377
125088,210137.8368910253
89206,190264.20381274074
314580,299615.8161986321
305560,344321.52532166615
143522,268580.82776004076
454499,388672.2488640994
159886,84296.68693844229
129295,239450.31151714548
287320,409621.799478095
210994,214198.64472223073
246459,310252.1008404866
354994,329112.5429903008
243568,332998.92459370196
518470,412465.0620617159
264013,322655.9504449591
127100,251797.69756138325
474810,356974.27185022086
193713,280701.98748809844
433901,372747.07066880167
263774,265396.1282207966
330066,399384.1313134134
216195,349890.0187377222
345727,404377.64996233955
72055,201705.8539700359
218803,206656.1252270043
152152,266325.442303136
241226,240331.33109257743
330422,293715.4525032602
342616,453843.4994659871
411591,443925.0688912682
404447,445979.4584212564
223024,158069.3947152607
376014,449088.8745351359
109413,226281.59981747344
169461,381687.94250415266
856070,522198.7332650237
328431,313824.9575644061
239175,175708.43146247417
343102,317919.8778310828
195498,403491.2507214844
216988,298683.7613834478
546512,450486.22201744094
165383,423115.24444741383
144534,70204.06606818363
311769,360011.6180340983
262861,399328.7029099986
520123,413114.7497860566
306942,302765.2042087279
156059,214820.48534367606
82386,143032.74413841218
373122,449236.8567179814
252877,251035.52140716836
426557,396678.843207147
176489,267023.0057814233
363224,363445.0816688314
200844,267973.64693753794
710090,540456.9615586512
295844,299124.0833398104
322834,434771.9585400745
213997,239729.97879281268
439595,418466.6032867916
225765,302556.89496112615
808270,273106.0566315055
166896,123096.22203581408
399480,388069.53443719074
98810,131489.79106228426
223135,206575.65882225707
509025,484721.61928255484
263672,349248.6720829047
368133,410067.174554728
130411,109892.28870515153
863878,332371.73246349767
210206,326292.7117600776
187235,348812.6377735175
222308,305932.1059333272
130144,132904.3127052337
145402,145323.22277890518
54746,81541.55521784723
173905,192888.98893313855
